Department,Phone Number,Location,Website
"Procurement Services, Change Orders & Solicitations",644-9727,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
"Procurement Services, Vendor Relations",644-9721,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
"Procurement Services, PO Distribution",644-6850,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Civic (Tucker) Center,850-487-1691,"TUCKER (CIVIC) CENTER, 505 W PENSACOLA ST",
Sports Management Department,644-4813,"TULLY GYM, 139 CHIEFTAN WAY",
"Fsu Foundation, Special Events",644-2313,"THE FSU FOUNDATION BUILDING, 325 W COLLEGE AVE",
"Fsu Foundation, College Of Social Work Development Office",645-1321,"THE FSU FOUNDATION BUILDING, 325 W COLLEGE AVE",
Biomedical Research Facility,644-4262,"Laboratory Animal Resources, 107 CHIEFTAN WAY",
"Seminole Dining, Legacy Catering",644-7509,"SEMINOLE DINING OFFICES, 945 W JEFFERSON ST",
Fsu Childcare,644-7970,,
Innovation Hub,645-8620,"SHORES BUILDING, 142 COLLEGIATE LOOP",
Senior Health Clinic,644-1543,"WESTMINSTER OAKS, 4449 MEANDERING WAY",
"fsu Trademark, Main Office",644-3141,"UNIVERSITY CENTER - BLDG. C, 296 CHAMPIONS WAY",
"University Relations, Florida Center For Interactive Media (Fcim)",645-1759,"RESEARCH FOUNDATION - BLDG. B, 2010 LEVY AVE",
"University Relations, Academic Space Reservations",644-1210,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Emergency Management & Homeland Security Academic Program - Main Line,644-9961,"BELLAMY BUILDING, 113 COLLEGIATE LOOP",
Jim Moran School Of Entrepreneurship,644-7158,"SHAW BUILDING (MAIN CAMPUS), 644 W CALL ST",
Fsu Real Estate Foundation,644-3944,"THE CLOCK BUILDING, 200 W. COLLEGE AVE.",
"Procurement Services - Construction/Building, Furniture, Vehicles",645-0407,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Procurement Services - Contracts,645-2789,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
Procurement Services - Pcard,644-9725,"UNIVERSITY CENTER - BLDG. A, 282 CHAMPIONS WAY",
"Oglesby Union, Campus Event Services",645-5627,"OGLESBY UNION - TURNER BUILDIN, 75 N WOODWARD AVE",
"Budget Office, Main Office",645-9266,"WESTCOTT BUILDING, 222 S COPELAND ST",
"Modern Languages & Linguistics, Chinese Program",644-3728,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",
"Modern Languages & Linguistics, Italian Program",644-3728,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",
"Modern Languages & Linguistics, Russian & Slavic Program",644-3728,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",
"Modern Languages & Linguistics, Spanish Program",644-3728,"DIFFENBAUGH BUILDING, 625 UNIVERSITY WAY",
"Dunlap Champions Club, Main Office",644-8528,"UNIVERSITY CENTER - BUILDING B, 288 CHAMPIONS WAY",
"Dunlap Champions Club, Private Events & Catering",644-9071,"UNIVERSITY CENTER - BUILDING B, 288 CHAMPIONS WAY",
Legends Hospitality Llc,644-8528,"UNIVERSITY CENTER - BUILDING B, 288 CHAMPIONS WAY",
